State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2022 Odometer Reading,6/30/2023 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,"214,397","214,496",99, , ,,,,,,,
FAC MGMT,1GCHC23U97F198170,426,54 649S,,2007,Chevrolet,Silverado P/U,"50,842","52,450","1,608", , ,,,,,,,
FAC MGMT,1GCHC23U27F199645,427,50 256S,,2007,Chevrolet,Silverado P/U,"58,641","60,853","2,212", , ,,,,,,,
FAC MGMT,1GDP7F13X7F419319,433,50 281S,,2007,GMC,"T7500 Cab, Chassis & Mulch Blower","15,812","16,420",608, , ,,,,,,,
FAC MGMT,1FTNF20588ED38336,442,56 185S,,2008,Ford,F250 P/U,"76,270","78,776","2,506", , ,,,,,,,
FAC MGMT,1FDXF47R88ED57042,445,56 200S,,2008,Ford,F450 Dump Truck,"33,444","35,491","2,047", , ,,,,,,,
FAC MGMT,1GNDV23W080207000,450,57 955S,,2008,Chevrolet,Uplander LE       pass van,"29,295","29,942",647,, ,,,,,,,
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"20,793","21,700",907, , ,,,,,,,
FAC MGMT,1FDOW4GY4BEC41756,492,60 055S,,2011,Ford,F450,"30,046","32,956","2,910", , ,,,,,,,
FAC MGMT,1FD0X5HT1BEC96106,496,60 057S,,2011,Ford,F550 4WD SD SC,"23,812","25,017","1,205", , ,,,,,,,
FAC MGMT,1GTR1TEX7BZ185688,497,60 054S,,2011,GMC,Sierra  Ext Cab P/U,"30,270","32,850","2,580", , ,,,,,,,
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"50,644","52,534","1,890", , ,,,,,,,
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"22,528","24,038","1,510", , ,,,,,,,
FAC MGMT,NM0LS6BNXBT068095,511,60 065S,,2011,Ford,Transit Connect Wagon,"36,988","39,847","2,859", , ,,,,,,,
FAC MGMT,1GC0KVCG8BF165388,512,60 070S,,2011,Chevrolet,Silverado 2500 P/U,"80,751","83,123","2,372", , ,,,,,,,
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"43,533","46,193","2,660", , ,,,,,,,
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"14,947","15,507",560, , ,,,,,,,
FAC MGMT,1GB3CZCG5BF260156,521,62 148S,,2011,Chevrolet,Silverado 3500 P/U,"34,143","35,904","1,761", , ,,,,,,,
FAC MGMT,1G1PC5SH6C7152696,522,60 073S,,2012,Chevrolet,Cruze,"27,269","27,834",565, , ,,,,,,,
FAC MGMT,1GD01ZCGXBF248083,524,60 075S,,2011,GMC,Sierra 2500,"51,189","53,602","2,413", , ,,,,,,,
FAC MGMT,1GD372BG1B1158936,525,62 150S,,2011,GMC,Savana 3500 Box Van,"55,999","59,307","3,308", , ,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"17,678","19,555","1,877", , ,,,,,,,
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"34,531","37,066","2,535", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT081833,531,62 335S,,2012,Ford,Transit Connect XLT Van,"40,843","47,255","6,412", , ,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"34,196","36,987","2,791", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"33,453","33,597",144, , ,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"28,712","31,285","2,573", , ,,,,,,,
FAC MGMT,1GTW7GCA9C1149699,541,62 680S,,2012,GMC,Savana Van,"30,777","31,777","1,000", , ,,,,,,,
FAC MGMT,NM0LS6BN8CT089965,542,62 681S,,2012,Ford,Transit Connect XLT Van,"16,510","17,290",780, , ,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"16,882","20,309","3,427", , ,,,,,,,
FAC MGMT,1GB0CVCG0CF184181,545,63 684S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"27,604","31,414","3,810", , ,,,,,,,
FAC MGMT,1GB0CVCG3CF150414,548,63 683S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"35,388","38,582","3,194", , ,,,,,,,
FAC MGMT,1GB0CVCG6CF134269,549,63 689S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"25,660","28,012","2,352", , ,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"38,433","40,586","2,153", , ,,,,,,,
FAC MGMT,NM0LS6BN8DT140639,567,64 336S,,2013,Ford,Transit Connect XLT,"43,815","47,305","3,490", , ,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"31,263","34,431","3,168", , ,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"30,764","32,229","1,465", , ,,,,,,,
FAC MGMT,1GD322CGXEF150645,581,65 847S,,2014,GMC,Sierra 3500 w/dump,"39,117","43,039","3,922", , ,,,,,,,
FAC MGMT,NM0LS7DN3DT130149,583,67 460S,,2013,Ford,Transit Connect XLT,"15,532","19,047","3,515", , ,,,,,,,
FAC MGMT,1GNSHBF46E1164546,584,67 452S,,2014,Chevrolet,Express 1500 Van,"20,200","21,592","1,392", , ,,,,,,,
FAC MGMT,1GCSGAFX9E1162337,585,67 451S,,2014,Chevrolet,Express 1500 Van,"34,239","36,937","2,698", , ,,,,,,,
FAC MGMT,1FTFW1EF3EFB11058,586,67 449S,,2014,Ford,F150 4x4 P/U       Crew Cab,"18,071","21,516","3,445", , ,,,,,,,
FAC MGMT,NM0LS7DNXDT164122,587,67 450S,,2013,Ford,Transit Connect XLT,"18,140","20,989","2,849", , ,,,,,,,
FAC MGMT,NM0LS7BN0DT170398,588,76 541S,,2013,Ford,Transit Connect XLT,"23,173","26,959","3,786", , ,,,,,,,
FAC MGMT,1FT7X2A61FEA35344,589,67 492S,,2015,Ford,F250 Supercab P/U,"25,772","28,204","2,432", , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA41417,590,67 474S,,2015,Ford,F250 Supercab P/U,"27,287","30,700","3,413", , ,,,,,,,
FAC MGMT,1FDRF3HT3FEA23785,591,67 476S,,2015,Ford,F350 4X4,"38,495","42,302","3,807", , ,,,,,,,
FAC MGMT,1GCWGFCA1E1149466,592,67 477S,,2014,Ford,F350 4X4,"80,593","93,783","13,190", , ,,,,,,,
FAC MGMT,1FVHCYCY5EHFR8547,593,67 490S,,2014,Freightliner,Crane Truck,"7,354","7,354",0, , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA59089,594,67 491S,,2015,Ford,F250 Supercab,"43,362","46,964","3,602", , ,,,,,,,
FAC MGMT,1FTBF2B63FEA41416,595,67 489S,,2015,Ford,F250 4X4,"32,444","35,678","3,234", , ,,,,,,,$0.00
FAC MGMT,1FDWE3FL3EDA82851,598,68 106S,,2014,Ford,E350 Cutaway,"41,925","44,092","2,167", , ,,,,,,,
FAC MGMT,1N6BD0CT2EN740014,599,68 111S,,2014,Nissan,Frontier S,"20,436","21,661","1,225", , ,,,,,,,
FAC MGMT,1FM5K8B87FGA41755,600,68 110S,,2015,Ford,Explorer,"13,537","15,352","1,815", , ,,,,,,,
FAC MGMT,NM0LE6E7XE1154768,635,68 115S,,2014,Ford,Transit Connect XL Van,"32,419","37,639","5,220", , ,,,,,,,
FAC MGMT,NM0AE8F71E1151145,636,68 122S,,2014,Ford,Transit Connect XLT Wagon,"21,422","23,876","2,454", , ,,,,,,,
FAC MGMT,1FDUF5HY5FEA99008,637,68 153S,,2015,Ford,F-550,"37,571","41,985","4,414", , ,,,,,,,
FAC MGMT,1GB3G2CG8E1199172,638,68 152S,,2014,Chevrolet,G35 Express,"47,380","52,660","5,280", , ,,,,,,,
FAC MGMT,1GB3KYCG7FF525470,639,68 158S,,2015,Chevrolet,Silverado 4WD,"47,070","51,982","4,912", , ,,,,,,,
FAC MGMT,1GB3KYCG0FF506386,640,68 166S,,2015,Chevrolet,Silverado 3500 4WD,"17,190","20,304","3,114", , ,,,,,,,
FAC MGMT,1FDRF3H63FEB37733,641,68 165S,,2015,Ford,F350,"31,873","34,468","2,595", , ,,,,,,,
FAC MGMT,NM0LS7E75F1177066,643,68 193S,,2015,Ford,Transit Connect XL Van,"23,680","26,152","2,472", , ,,,,,,,
FAC MGMT,NM0LS7E78F1177062,644,68 200S,,2015,Ford,Transit Connect XL Van,"32,936","37,380","4,444", , ,,,,,,,
FAC MGMT,1GCHTAEA7F1159909,645,68 198S,,2015,Chevrolet,Colorado Ext Cab P/U,"60,689","65,490","4,801", , ,,,,,,,
FAC MGMT,NM0LS7E71F1187836,647,68 199S,,2015,Ford,Transit Connect XL Van,"12,362","13,423","1,061", , ,,,,,,,
FAC MGMT,NM0LS7E7XF1188712,648,69 462S,,2015,Ford,Transit Connect XL Van,"44,812","47,568","2,756", , ,,,,,,,
FAC MGMT,2G1WA5E31F1136845,650,68 867S,,2015,Chevrolet,Impala,"8,603","9,490",887, , ,,,,,,,
FAC MGMT,1GCWGFCG1F1210000,652,69 471S,,2015,Chevrolet,Express 2500,"18,742","22,128","3,386", , ,,,,,,,
FAC MGMT,NM0LS7E76F1208020,654,69 497S,,Ford,2015,Transit Connect XL Van,"21,068","24,231","3,163", , ,,,,,,,
FAC MGMT,1GTH6BEAXG1102988,656,69 498S,,2016,GMC,Canyon,"46,317","49,708","3,391", , ,,,,,,,
FAC MGMT,1GTH6AEA1F1155104,657,69 917S,,2015,GMC,Canyon,"20,753","23,231","2,478", , ,,,,,,,
FAC MGMT,1GTH5BEA6G1112498,659,69 938S,,2016,GMC,Canyon Ext Cab,"16,415","19,384","2,969", , ,,,,,,,
FAC MGMT,1GC4KYCG3FF649865,660,69 919S,,2015,Chevrolet,Silverado Crew Cab,"22,376","24,231","1,855", , ,,,,,,,
FAC MGMT,1FTNR2CM3FKB11211,661,69 920S,,2015,Ford,Transit 250 Mid Roof,"19,525","21,739","2,214", , ,,,,,,,
FAC MGMT,1GD01XEG7FZ523091,662,69 940S,,2015,GMC,Sierra 2500,"37,978","42,121","4,143", , ,,,,,,,
FAC MGMT,3GCPCPEHXFG397458,663,70 453S,,2015,Chevrolet,Silverado 1500,"47,194","53,078","5,884", , ,,,,,,,
FAC MGMT,1FM5K8B87GGA78497,664,70 474S,,2016,Ford,Explorer,"7,671","8,584",913, , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA06459,665,70 476S,,2016,Ford,Transit,"21,531","23,115","1,584", , ,,,,,,,
FAC MGMT,1GC0KUEG4FZ103210,666,70 473S,,2015,Chevrolet,Silverado 2500,"14,716","16,264","1,548", , ,,,,,,,
FAC MGMT,1GB0CUEG6FZ515694,667,70 478S,,2015,Chevrolet,Silverado 2500,"32,739","37,087","4,348", , ,,,,,,,
FAC MGMT,1GT02VEG3GZ160764,668,70 479S,,2016,GMC,Sierra 3500,"6,616","7,431",815, , ,,,,,,,
FAC MGMT,1C4NJDBB8GD632448,670,70 496S,,2016,Jeep,Compass,"15,409","17,324","1,915", , ,,,,,,,
FAC MGMT,3N63M0YN0FK726313,671,70 495S,,2015,Chevrolet,City Express LS,"7,892","9,110","1,218", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1242088,674,71 055S,,2016,Ford,Transit Connect XL,"20,672","25,673","5,001", , ,,,,,,,
FAC MGMT,NM0AE8F75G1241496,675,71 054S,,2016,Ford,Transit Connect XLT Wagon,"10,110","12,258","2,148", , ,,,,,,,
FAC MGMT,1C4NJDBB6GD581581,677,71 098S,,2016,Jeep,Compass Sport,"16,496","19,532","3,036", , ,,,,,,,
FAC MGMT,1FTYE1ZM9GKA99237,679,71 969S,,2016,Ford,Transit,"7,059","8,101","1,042", , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA99242,680,71 968S,,2016,Ford,Transit,"18,196","21,970","3,774", , ,,,,,,,
FAC MGMT,1GC1CUEG9GF199758,681,71 970S,,2016,Chevrolet,Silverado 2500,"15,503","18,484","2,981", , ,,,,,,,
FAC MGMT,1GCHTBE3XG1297131,687,71 991S,,2016,Chevrolet,Colorado Ext Cab P/U,"23,103","26,139","3,036", , ,,,,,,,
FAC MGMT,1FD8X3HT4GEC33077,688,72 796S,,2016,Ford,F350 Extd Cab,"33,634","40,159","6,525", , ,,,,,,,
FAC MGMT,NM0GE9E70G1276660,689,71 992S,,2016,Ford,Transit Connect XL Wagon LWB,"9,187","10,446","1,259", , ,,,,,,,
FAC MGMT,NM0LS7E78G1278748,700,72 789S,,2016,Ford,Transit Connect XL Van,"17,070","19,673","2,603", , ,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"14,571","16,851","2,280", , ,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"23,034","26,242","3,208", , ,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"27,984","33,441","5,457", , ,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"10,707","12,904","2,197", , ,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"13,741","15,976","2,235", , ,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"13,474","16,847","3,373", , ,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"13,606","15,524","1,918", , ,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"28,195","32,481","4,286", , ,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"18,626","23,774","5,148", , ,,,,,,,
FAC MGMT,1FDNF7AY8HDB04186,719,73 122S,,2017,Ford,F750 Dump Truck w/snowblade&salt spreader,"8,227","8,773",546, , ,,,,,,,
FAC MGMT,1FDUF4HY8HEB86124,720,73 121S,,2017,Ford,F450 Dump Truck w/salt spreader,"23,351","27,313","3,962", , ,,,,,,,
FAC MGMT,1FDUF4HYXHEB86125,721,73 123S,,2017,Ford,F450 4x4 Reg Cab,"18,581","21,171","2,590", , ,,,,,,,
FAC MGMT,NM0LS7E72G1272296,722,73 119S,,2016,Ford,Transit Connect XL Van LWB,"13,227","15,854","2,627", , ,,,,,,,
FAC MGMT,1FDUF4HY6HEB86123,723,73 125S,,2017,Ford,F450 4x4 Reg Chasis Cab,"16,967","19,513","2,546", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1269999,725,73 126S,,2016,Ford,Transit Connect XL Van LWB,"7,206","8,836","1,630", , ,,,,,,,
FAC MGMT,1FDUF4HY2HEB80108,726,73 127S,,2017,Ford,F450 4x4 Reg Chasis Cab,"18,219","21,398","3,179", , ,,,,,,,
FAC MGMT,1FTYR1CM0GKA94831,727,73 128S,,2016,Ford,Transit 250 Van,"13,396","14,607","1,211", , ,,,,,,,
FAC MGMT,NMOAE8FX4G1261125,728,73 131S,,2016,Ford,Transit Connect XLT Wagon SWB,"9,329","11,271","1,942", , ,,,,,,,
FAC MGMT,NMOAE8F70G1254589,729,73 130S,,2016,Ford,Transit Connect XLT Wagon SWB,"10,497","12,469","1,972", , ,,,,,,,
FAC MGMT,NMOLS7E78G1233759,730,73 133S,,2016,Ford,Transit Connect XL Van LWB,"17,020","20,556","3,536", , ,,,,,,,
FAC MGMT,1FTBF2B66HED45262,731,73 134S,,2017,Ford,F250 4x4 Reg Cab SS SRW,"22,141","26,454","4,313", , ,,,,,,,
FAC MGMT,1GT11REG1HF104775,732,73 135S,,2017,GMC,Sierra P/U 2WD Crew Cab,"18,819","21,976","3,157", , ,,,,,,,
FAC MGMT,1GT01REG3HZ237225,733,73 136S,,2017,GMC,Sierra P/U 2WD Reg Cab,"12,742","15,807","3,065", , ,,,,,,,
FAC MGMT,1GCHTBEN9H1181955,734,73 137S,,2017,Chevrolet,Colorado P/U 4x4,"18,646","21,467","2,821", , ,,,,,,,
FAC MGMT,NMOAS8F70H1325803,735,73 138S,,2017,Ford,Transit Connect XLT Wagon SWB,"14,890","17,036","2,146", , ,,,,,,,
FAC MGMT,NMOLS7E70G1252063,736,73 139S,,2016,Ford,Transit Connect XL Van LWB,"23,512","29,338","5,826", , ,,,,,,,
FAC MGMT,1GCNCPEX3BZ284007,737,73 148S,,2011,Chevrolet,Silverado 1500,"55,148","57,183","2,035", , ,,,,,,,
FAC MGMT,1FTYR1ZM7GKA23259,740,73 145S,,2016,Ford,Transit 250 Cargo Van,"29,413","32,629","3,216", , ,,,,,,,
FAC MGMT,1FTYR1ZM9GKA30410,741,73 146S,,2016,Ford,Transit 250 Cargo Van,"27,040","28,561","1,521",, ,,,,,,,
FAC MGMT,1FTYR1ZM5GKA23258,742,73 147S,,2016,Ford,Transit 250 Cargo Van,"35,641","39,094","3,453",, ,,,,,,,
FAC MGMT,1GCHSBEA5H1223957,743,74 154S,,2017,Chevrolet,Colorado 2WD Ext. Cab,"17,549","21,117","3,568",, ,,,,,,,
FAC MGMT,3C6TRVDG0HE516277,744,74 153S,,2017,Dodge,Ram Promaster Van,"36,126","39,634","3,508",, ,,,,,,,
FAC MGMT,ZFBERFAB3H6G39115,747,74 160S,,2017,Dodge,Ram Promaster City Van,"12,434","15,457","3,023",, ,,,,,,,
FAC MGMT,ZFBERFAB4H6G42038,748,74 161S,,2017,Dodge,Ram Promaster City Van,"9,523","12,033","2,510",, ,,,,,,,
FAC MGMT,1GTW7AFF3H1117939,750,74 158S,,2017,GMC,Savana Van,"7,738","8,372",634,, ,,,,,,,
FAC MGMT,ZFBERFAT8G6B83720,751,74 157S,,2016,Dodge,Ram Promaster City Cargo Van,"23,793","26,438","2,645",, ,,,,,,,
FAC MGMT,1GTN1LEC4GZ904558 ,752,74 164S,,2016,GMC,Sierra 1500 P/U,"23,107","25,128","2,021",, ,,,,,,,
FAC MGMT, 1N6BD0CT5GN711450,757,74 171S,,2016,Nissan,Frontier P/U,"28,687","32,450","3,763",, ,,,,,,,
FAC MGMT,1GB3GSCG5H1239910,758,74 167S,,2017,Chevrolet,Express 3500 Box Van,"29,711","34,976","5,265",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK720353,759,74 166S,,2017,Chevrolet,City Express Van,"4,503","5,540","1,037",, ,,,,,,,
FAC MGMT,1FTMF1E58JKC65751,762,74 168S,,2018,Ford,F150 P/U,"12,209","14,249","2,040",, ,,,,,,,
FAC MGMT,3C6TRVDG6HE512539,763,74 173S,,2017,Dodge,Ram 2500 High Roof Cargo Van,"25,216","26,623","1,407",, ,,,,,,,
FAC MGMT,3ALACWFC6JDJX4023,766,74 174S,,2018,Freightliner,M2 106 Truck w/Heil PT 1000 13 cubic yard compactor,"42,955","52,299","9,344",, ,,,,,,,
FAC MGMT,3N63M0YN0HK719428,768,74 175S,,2017,Chevrolet,City Express Cargo Van,"15,681","19,058","3,377",, ,,,,,,,
FAC MGMT,1FTBF2B6XJEB31462,769,74 176S,,2018,Ford,F250 4x4 P/U,"15,129","18,373","3,244",, ,,,,,,,
FAC MGMT,1GAWGFFG2H1136948,773,74 185S,,2017,Chevrolet,Express 2500       12-Pass Van,"39,511","42,603","3,092",, ,,,,,,,
FAC MGMT,1N6BD0CT5GN785483,775,74 178S,,2016,Nissan,Frontier P/U,"19,253","21,781","2,528",, ,,,,,,,
FAC MGMT,1FTYR1YM2HKA71030,776,74 179S,,2017,Ford,Transit 250         cargo van,"22,584","27,101","4,517",, ,,,,,,,
FAC MGMT,1E9EA15S4JP363168,777,5823L      (low speed),,2018,E-Ride,Patriot Electric LSV,"5,528","7,173","1,645",, ,,,,,,,
FAC MGMT,1N6AD0CW0JN727925,778,74 180S,,2018,Nissan,Frontier P/U 4x4,"16,876","20,651","3,775",, ,,,,,,,
FAC MGMT,1N6BD0CTXHN742212,779,74 181S,,2017,Nissan,Frontier P/U ,"17,098","20,450","3,352",, ,,,,,,,
FAC MGMT,1N6AD0CW0HN755024,780,74 182S,,2017,Nissan,Frontier P/U 4x4,"20,764","23,130","2,366",, ,,,,,,,
FAC MGMT,1FD7W2A63JEB31922,781,74 183S,,2018,Ford,F250 P/U crew cab w/lift gate,"13,370","16,905","3,535",, ,,,,,,,
FAC MGMT,1FTYR2YM9JKA44502,782,75 601S,,2018,Ford,Transit 250         cargo van,"65,785","91,641","25,856",, ,,,,,,,
FAC MGMT,1FDBF2A66JEB41614,783,74 186S,,2018,Ford,F250 w/reading utility body,"13,057","16,298","3,241",, ,,,,,,,
FAC MGMT,1GB3CYCGXJZ250407,784,74 187S,,2018,Chevrolet,Silverado 3500 P/U,"6,114","7,194","1,080",, ,,,,,,,
FAC MGMT,NM0LS7E73H1335293,785,74 190S,,2017,Ford,Transit Connect XL Cargo Van,"8,038","10,020","1,982",, ,,,,,,,
FAC MGMT,1FTBF2B69JEB84315,786,74 189S,,2018,Ford,F250 4x4 P/U w/snow plow,"8,973","10,552","1,579",, ,,,,,,,
FAC MGMT,1FM5K8B8XJGB04887,787,74 193S,,2018,Ford,Explorer,"8,219","9,498","1,279",, ,,,,,,,
FAC MGMT,1FDNF6AY8JDF02255,788,74 195S,,2018,Ford,F650 w/switch & go body,"7,950","10,084","2,134",, ,,,,,,,
FAC MGMT,1N4AZ1CP7JC312931,789,75 634S,,2018,Nissan,Leaf S,"4,771","5,772","1,001",, ,,,,,,,
FAC MGMT,1FVHG3FE3KHKS7792,790,76 516S,,2019,Freightliner,114SD Vactor Pumper Truck,"3,493","4,948","1,455",, ,,,,,,,
