State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
FAC MGMT,1FDUF5GY4JEB23387,799,75 606S,,2018,Ford,F550 w/service crane,"6,887","9,087","2,200",, ,,,,,,,
FAC MGMT,1FTBF2A62KEC12569,816,75 628S,,2019,Ford,F250 4x2 w/lift gate,"7,310","8,840","1,530",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK719381,817,75 611S,,2018,Chevrolet,City Express w/glass in doors,"17,210","21,832","4,622",, ,,,,,,,
FAC MGMT,1FTBF2A66JEC65323,818,75 618S,,2018,Ford,F250 4x2 w/lift gate,"7,997","9,383","1,386",, ,,,,,,,
FAC MGMT,NM0LS7E79J1368983,819,75 614S,,2018,Ford,Transit Connect XL LWB Van,"5,373","7,114","1,741",, ,,,,,,,
FAC MGMT,1FDUF5HY6KDA03029,820,76 517S,,2019,Ford,F550 w/Terex LT40 Bucket,"21,537","29,555","8,018",, ,,,,,,,
FAC MGMT,1FT7W2A65KEC43482,821,76 504S,,2019,Ford,F250 4x2 Crew Cab,"10,055","13,027","2,972",, ,,,,,,,
FAC MGMT,1FT7W2A67KEC43483,822,76 505S,,2019,Ford,F250 4x2 Crew Cab,"12,135","15,737","3,602",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK719705,824,75 617S,,2017,Chevrolet,City Express          cargo van,"5,674","6,536",862,, ,,,,,,,
FAC MGMT,1FDBF2A66KEC61172,825,76 513S,,2019,Ford,F250 w/XLHybrid System,"17,838","23,406","5,568",, ,,,,,,,
FAC MGMT,1FDBF2A66KEC61171,826,76 512S,,2019,Ford,F250 w/XLHybrid System,"18,049","21,580","3,531",, ,,,,,,,
FAC MGMT,1FDWE3F6XKDC08564,827,76 520S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"8,631","12,249","3,618",, ,,,,,,,
FAC MGMT,1FDWE3F61KDC08565,828,76 519S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"13,145","18,897","5,752",, ,,,,,,,
FAC MGMT,1FTYR1ZM7HKB10063,830,75 626S,,2018,Ford,Transit 250      cargo van,"19,079","20,265","1,186",, ,,,,,,,
FAC MGMT,1FDWE3FS6HDC32205,831,75 627S,,2017,Ford,E350 15' Box Van,"26,175","26,513",338,, ,,,,,,,
FAC MGMT,NM0GS9F76J1360853,833,75 642S,,2018,Ford,Transit Connect XLT (LWB) Van,"7,043","8,773","1,730",, ,,,,,,,
FAC MGMT,1FTYE1ZM0JKA02157,834,75 645S,,2018,Ford,Transit 150 low roof cargo van,"19,775","21,309","1,534",, ,,,,,,,
FAC MGMT,1GD07RFGXJ1262569,835,75 643S,,2018,GMC,Savana 2500 Cutaway w/12' Box & Lift Gate,"5,392","7,597","2,205",, ,,,,,,,
FAC MGMT,1E9EB25S7JP363197,836,5828L,,2019,E-Ride Industries,EXV4 Patriot,"2,150","2,499",349,, ,,,,,,,
FAC MGMT,1N6BD0CT4HN745526,861,75 644S,,2017,Nissan,Frontier              King Cab 4x2,"14,822","17,327","2,505",, ,,,,,,,
FAC MGMT,1N6BD0CT0HN734460,862,75 640S,,2017,Nissan,Frontier              King Cab 4x2,"15,261","19,625","4,364",, ,,,,,,,
FAC MGMT,1N6AD0EV6JN759069,863,75 647S,,2018,Nissan,Frontier V6        Crew Cab 4x4,"5,667","6,244",577,, ,,,,,,,
FAC MGMT,1FTBF2B62KED14369,866,76 509S,,2019,Ford,F250 4x4 sing cab long bed,"16,401","21,667","5,266",, ,,,,,,,
FAC MGMT,1N4AZ1CP3JC303675,867,75 649S,,2018,Nissan,Leaf SV,"4,617","5,481",864,, ,,,,,,,
FAC MGMT,1FDUF4HY0KDA07877,868,76 514S,,2019,Ford,F550 Dump Truck 4x4,"9,597","11,640","2,043",, ,,,,,,,
FAC MGMT,3N6CM0KN2HK694301,869,76 507S,,2017,Nissan,NV200 S cargo van,"4,611","6,130","1,519",, ,,,,,,,
FAC MGMT,1N4AL3AP7JC299744,870,76 508S,,2018,Nissan,Altima,"7,511","9,692","2,181",, ,,,,,,,
FAC MGMT,1FTYR2ZM1JKA84295,872,76 523S,,2018,Ford,Transit250 Low Roof Cargo Van,"45,958","54,958","9,000",, ,,,,,,,
FAC MGMT,1FTYE9ZM1JKA43332,873,76 522S,,2018,Ford,Transit150 Low Roof Cargo Van,"26,411","28,935","2,524",, ,,,,,,,
FAC MGMT,1FT7X2B61KEF19944,874,78 552S,,2019,Ford,F250 with Knapheide Gooseneck Body,"12,193","17,151","4,958",,Added,,,,,,,
FAC MGMT,1N4AZ1CP3KC308117,876,76 531S,,2019,Nissan,Leaf SV,"3,150","4,461","1,311",, ,,,,,,,
FAC MGMT,1N4AZ1CPXKC308633,877,76 532S,,2019,Nissan,Leaf S,"2,559","3,351",792,, ,,,,,,,
FAC MGMT,1FDBF2B68KEF81771,881,76 547S,,2019,Ford,F250 4x4 w/lift gate,"9,539","13,533","3,994",, ,,,,,,,
FAC MGMT,1N4AZ1CP9JC311506,886,76 527S,,2018,Nissan,Leaf SV,"4,321","6,112","1,791",, ,,,,,,,
FAC MGMT,1FTMF1CB6KKE70849,888,78 553S,,2019,Ford,F150 2WD,"10,215","17,845","7,630",,Added,,,,,,,
FAC MGMT,3N6CM0KN7GK699251,889,76 534S,,2016,Nissan,NV200 S cargo van,"23,456","25,016","1,560",, ,,,,,,,
FAC MGMT,3N6CM0KN9KK705365,890,76 535S,,2019,Nissan,NV200 S cargo van,"3,491","4,448",957,, ,,,,,,,
FAC MGMT,3N6CM0KN3KK699532,891,76 536S,,2019,Nissan,NV200 S cargo van,"6,828","9,626","2,798",, ,,,,,,,
FAC MGMT,1GTH5BEA3K1138727,892,76 537S,,2019,GMC,Canyon 2WD      Ext Cab,"8,897","10,778","1,881",, ,,,,,,,
FAC MGMT,1GTH5BEA2K1194738,893,76 538S,,2019,GMC,Canyon 2WD      Ext Cab,"5,621","7,317","1,696",, ,,,,,,,
FAC MGMT,1E9EB25S7KP363234,894,5834L,,2019,E-Ride,Patriot MXV4,"2,194","2,676",482,, ,,,,,,,
FAC MGMT,54DCDW1B2KS807501,895,78 555S,,2019,Chevrolet,"4500 LCF 16"" Box Van w/liftgate","16,745","23,768","7,023",, ,,,,,,,
FAC MGMT,NM0GS9E24K1417090,896,76 549S,,2019,Ford,Transit Connect,"6,899","8,869","1,970",, ,,,,,,,
FAC MGMT,1GCHSBEA0L1174787,897,78 566S,,2020,Chevrolet,Colorado 2WD      Ext. Cab,"8,123","11,506","3,383",, ,,,,,,,
FAC MGMT,2C4RC1H78JR230575,898,76 548S,,2018,Chrysler,Pacifica Hybrid,"13,385","18,533","5,148",, ,,,,,,,
FAC MGMT,1FTYR1ZM7JKA65440,907,76 546S,,2018,Ford,Transit250 Low Roof Cargo Van,"18,051","19,951","1,900",, ,,,,,,,
FAC MGMT,NM0LS7E2XK1384468,910,78 558S,,2018,Ford,Transit Connect,"2,251","2,727",476,, ,,,,,,,
FAC MGMT,1GTH5BEA5K1359553,911,78 557S,,2019,GMC,Canyone Base,"7,028","8,648","1,620",, ,,,,,,,
FAC MGMT,1FTYR1YM7JKA99167,912,78 559S,,2018,Ford,Transit250 ,"11,823","13,587","1,764",, ,,,,,,,
FAC MGMT,1FTYR1ZM1JKA89815,913,78 560S,,2018,Ford,Transit250,"18,310","22,328","4,018",, ,,,,,,,
FAC MGMT,1FTYR1ZM8JKB37990,915,78 565S,,2018,Ford,Transit250,"37,979","49,186","11,207",, ,,,,,,,
FAC MGMT,1FTYR1YM4JKB16569,916,78 562S,,2018,Ford,Transit250,"25,770","37,374","11,604",, ,,,,,,,
FAC MGMT,1N6BD0CT9HN760555,917,78 556S,,2017,Nissan,Frontier 4x2,"25,236","27,846","2,610",, ,,,,,,,
FAC MGMT,2C4RC1H78JR172659,918,78 561S,,2018,Chrysler,Pacifica Hybrid,"5,340","9,729","4,389",, ,,,,,,,
FAC MGMT,1FT7W2B66LED69480,921,78 598S,,2020,Ford,F250 4x4 crew cab w/stake body,"5,781","8,271","2,490",, ,,,,,,,
FAC MGMT,1FDRF3C69LED69479,922,78 595S,,2020,Ford,F350 w/Knapheide Svc Body & Liftmore Svc Crane,"5,773","9,198","3,425",, ,,,,,,,
FAC MGMT,1FDRF3A66LED09646,923,78 579S,,2020,Ford,F350 reg. cab w/utility body & lift gate,"9,774","13,604","3,830",, ,,,,,,,
FAC MGMT,1FDUFGN5LDAO5850,924,78 593S,,2020,Ford,F550 Reg Cab Utility Body w/Svc Crane,"4,202","7,300","3,098",, ,,,,,,,
FAC MGMT,1FTMF1E51LKE10695,925,78 580S,,2020,Ford,F150 P/U,"7,481","10,002","2,521",, ,,,,,,,
FAC MGMT,NM0LS7E23K1384473,926,78 569S,,2019,Ford,Transit Connect,"6,083","8,603","2,520",, ,,,,,,,
FAC MGMT,3N6CM0KN2KK712299,927,78 571S,,2019,Nissan,NV200,"2,003","2,821",818,, ,,,,,,,
FAC MGMT,3N6CM0KN2KK708947,928,78 570S,,2019,Nissan,NV200,"4,326","5,291",965,, ,,,,,,,
FAC MGMT,1N6BD0CT4JN766303,930,78 575S,,2018,Nissan,Frontier S,"7,537","9,795","2,258",, ,,,,,,,
FAC MGMT,1N6BD0CT8KN797216,931,78 572S,,2019,Nissan,Frontier S,"6,299","9,007","2,708",, ,,,,,,,
FAC MGMT,1FDRF3G60LEE27893,933,80 706S,,2020,Ford,F350 4x2 w/Dejana custom stake body,"4,902","7,559","2,657",, ,,,,,,,
FAC MGMT,1FTYR1ZM9KKB34856,935,78 581S,,2019,Ford,Transit250,"12,290","18,309","6,019",, ,,,,,,,
FAC MGMT,3N6CMOKNXLK708681,939,80 705S,,2020,Nissan,NV200 S cargo van,"9,954","16,532","6,578",, ,,,,,,,
FAC MGMT,1FTEX1C56MKD59832,942,80 712S,,2021,Ford,F150 Ext Cab,"3,290","8,432","5,142",, ,,,,,,,
FAC MGMT,3N6CMOKN1LK708729,945,80 707S,,2020,Nissan,NV200 Cargo Van,"1,893","3,570","1,677",, ,,,,,,,
FAC MGMT,1FDUF5GN7MDA08606,946,80 723S,,2021,Ford,F550 Dump Truck 4x2,"1,619","2,643","1,024",, ,,,,,,,
FAC MGMT,1N6ED1EJ0NN622219,947,80 743S,,2022,Nissan,Frontier SV P/U Crew Cab,"2,011","3,670","1,659",, ,,,,,,,
FAC MGMT,1GCGSBEA4M1245602,949,80 715S,,2021,Chevrolet,Colorado P/U,"1,935","3,382","1,447",, ,,,,,,,
FAC MGMT,1N6ED0CE8MN703238,950,80 716S,,2021,Nissan,Frontier P/U,"3,587","6,200","2,613",, ,,,,,,,
FAC MGMT,1FDBF2A66NEC15927,953,80 735S,,2022,Ford,F250 Stake Body & Lift Gate,"1,174","3,384","2,210",, ,,,,,,,
FAC MGMT,1N4BZ1CP4KC313072,966,80 711S,,2019,Nissan,Leaf SV Plus,"4,015","4,730",715,, ,,,,,,,
FAC MGMT,1FT7W2A63NEC15930,967,80 734S,,2022,Ford,F250 Utility Body Truck,"4,572","11,074","6,502",, ,,,,,,,
FAC MGMT,1N4BZ1CP7KC320842,969,80 710S,,2019,Nissan,Leaf SV Plus,"10,890","11,437",547,, ,,,,,,,
FAC MGMT,1FTBR1Z81MKA89407,970,80 736S,,2021,Ford,Transit250,"1,574","4,001","2,427",, ,,,,,,,
FAC MGMT,1FTEX1EBXMKE46460,971,80 728S,,2021,Ford,F150 Ext Cab,"2,355","5,484","3,129",, ,,,,,,,
FAC MGMT,1FDBF2A61NEC27385,972,80 731S,,2022,Ford,F250,"1,622","3,748","2,126",, ,,,,,,,
FAC MGMT,1FDBF2A63NEC27386,973,80 730S,,2022,Ford,F250,"1,987","5,264","3,277",, ,,,,,,,
FAC MGMT,1FDBF2A65NEC27387,974,80 733S,,2022,Ford,F250 Utility Body Truck,"2,649","6,437","3,788",, ,,,,,,,
FAC MGMT,1FDUF5GNXMDA04792,975,80 717S,,2021,Ford,F550 4x2 Reg. Cab Utility Body Truck,"4,083","7,798","3,715",, ,,,,,,,
FAC MGMT,1GCWGAF1K1275809,976,80 719S,,2019,Chevrolet,Express 2500,"17,693","21,104","3,411",, ,,,,,,,
FAC MGMT,3N6CM0KN3MK691708,977,80 718S,,2021,Nissan,NV 200,"3,664","7,334","3,670",, ,,,,,,,
FAC MGMT,1N6ED0CF2MN705527,978,80 720S,,2021,Nissan,Frontier Ext Cab 4x4 P/U,"3,222","6,690","3,468",, ,,,,,,,
FAC MGMT,1FT7W2B60NED16793,979,80 747S,,2022,Ford,F250 4x4 crew cab ,"1,437","4,383","2,946",, ,,,,,,,
FAC MGMT,2C4RC1H79LR230331,981,80 729S,,2020,Chrysler,Pacifica Hybrid,"13,583","18,056","4,473",, ,,,,,,,
FAC MGMT,1N6EDOCE9MN721845,982,80 732S,,2021,Nissan,Frontier SV,"1,776","3,863","2,087",, ,,,,,,,
FAC MGMT,1FTRF3BTXNEF61752,983,83 412S,,2022,Ford,F350,130,536,406,, ,,,,,,,
FAC MGMT,NM0LS7E26L1464447,985,80 739S,,2020,Ford,Transit Connect XL,"16,477","18,296","1,819",, ,,,,,,,
FAC MGMT,1GTW7AFP9M1288861,986,80 740S,,2021,GMC,Savana 2500,790,"2,758","1,968",, ,,,,,,,
FAC MGMT,1FMCU9BZ5NUA84507,987,83 409S,,2022,Ford,Escape Hybrid,2,"1,703","1,701",, ,,,,,,,
FAC MGMT,1FMCU9BZ2NUA83542,988,82 393S,,2022,Ford,Escape SE Hybrid,515,"4,705","4,190",, ,,,,,,,
FAC MGMT,NM0LS7S21N1540292,989,83 411S,,2022,Ford,Transit,130,"1,775","1,645",, ,,,,,,,
FAC MGMT,NM0LS7S2XN1540288,990,83 410S,,2022,Ford,Transit,130,"1,141","1,011",, ,,,,,,,
FAC MGMT,NM0LS7S2N1540337,991,83 424S,,2022,Ford,Transit Connect XL,118,891,773,, ,,,,,,,
FAC MGMT,NM0LS7S27N1540331,992,83 420S,,2022,Ford,Transit Connect XL,118,"1,925","1,807",, ,,,,,,,
FAC MGMT,NM0LS7S26N1540286,993,83 423S,,2022,Ford,Transit Connect XL,130,"1,660","1,530",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540329,994,83 422S,,2022,Ford,Transit Connect XL,130,"1,900","1,770",, ,,,,,,,
FAC MGMT,1N6ED1EJ0NN631047,998,80 742S,,2022,Nissan,Frontier SV P/U Crew Cab,"1,228","5,095","3,867",, ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98694,1001,83 403S,,2022,Ford,Escape FHEV,24,"1,359","1,335",, ,,,,,,,
FAC MGMT,1GTP9BEK9NZ168054,1004,82 389S,,2022,GMC,Sierra1500 SLE,689,"2,592","1,903",, ,,,,,,,
FAC MGMT,1E9PB25S2NP363378,1005,5256L,,2022,e-Ride,EXV4,2,490,488,, ,,,,,,,
FAC MGMT,NM0LS7S22N1540348,1006,83 421S,,2022,Ford,Transit Connect XL,126,"1,732","1,606",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540962,1007,83 442S,,2022,Ford,Transit Connect,11,"1,979","1,968",, ,,,,,,,
FAC MGMT,NM0LS7S27N1540345,1008,83 415S,,2022,Ford,Transit Connect XL,132,"1,255","1,123",, ,,,,,,,
FAC MGMT,NM0LS7E24L1468030,1010,83 439S,,2020,Ford,Transit Connect,"10,202","12,413","2,211",, ,,,,,,,
FAC MGMT,NM0LS7S20N1540350,1011,83 419S,,2022,Ford,Transit Connect XL,130,"1,079",949,, ,,,,,,,
FAC MGMT,NM0LS7S29N1540346,1012,83 427S,,2022,Ford,Transit Connect XL,130,"1,355","1,225",, ,,,,,,,
FAC MGMT,NM0LS7S20N1540963,1014,83 443S,,2022,Ford,Transit Connect,9,"1,357","1,348",, ,,,,,,,
FAC MGMT,1FMCU9BZXNUA98743,1016,83 426S,,2022,Ford,Escape Hybrid,139,"1,674","1,535",, ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98954,1017,83 425S,,2022,Ford,Escape Hybrid,159,"1,996","1,837",, ,,,,,,,
FAC MGMT,1E9PB2557NP363358,1021,5257L,,2022,e-Ride,EXV4 Patriot,2,317,315,, ,,,,,,,
FAC MGMT,1GTW7AFP8N1255741,1026,83 437S,,2022,GMC,Savana 2500,10,833,823,, ,,,,,,,
FAC MGMT,1FDUF5GT1NED43774,1039,83 434S,,2022,Ford,F550 4x2 Utility Body w/crane,269,"1,839","1,570",, ,,,,,,,
FAC MGMT,1GCHTBEA0N1260620,1043,83 413S,,2022,Chevrolet,Colorado Ext Cab P/U,3,"2,399","2,396",, ,,,,,,,
FAC MGMT,1GTW7AFP7N1275897,1044,83 444S,,2022,GMC,Savana,12,32,20,, ,,,,,,,
FAC MGMT,1GD39LE74PF136600,1045,83 449S,,2023,GMC,Sierra 2500HD Pro,175,850,675,, ,,,,,,,
FAC MGMT,1FDBF2B67NEF66313,1046,83 433S,,2022,Ford,F250,130,"2,493","2,363",, ,,,,,,,
FAC MGMT,3GCNWAEF3MG367287,1048,83 414S,,2021,Chevrolet,Silverado 1500 P/U,"16,316","17,456","1,140",, ,,,,,,,
FAC MGMT,1HTKHPVK9NH779317,1050,84-057S,,2022,Chevrolet,Sliverado 5500 w/liftgate Utility Body,12,814,802,, ,,,,,,,
FAC MGMT,1GC5YLE76NF312270,1051,83 416S,,2022,Chevrolet,Silverado 2500 4WD,147,895,748,, ,,,,,,,
FAC MGMT,1FTEX1EP1NKF31166,1058,83 436S,,2022,Ford,F150 4x4 SuperCrew,119,762,643,, ,,,,,,,
FAC MGMT,1FTEX1EB8NKF27121,1059,83 435S,,2022,Ford,F150 4x4 SuperCrew,269,949,680,,,,,,,,,
FAC MGMT,1FMCU0MZ0PUA48431,1065,TEMP,,2023,Ford,Escape Hybrid,5,247,242,,,,,,,,,
FAC MGMT,NM0GE9E21N1543984,1067,83 445S,,2022,Ford,Ford Transit Connect XL Wagon LWB,5,672,667,,,,,,,,,
FAC MGMT,1FTBR1Y85MKA25484,1078,83 450S,,2021,Ford,Transit250,"11,566","12,093",527,,,,,,,,,
FAC MGMT,1GCWGAFP4P1156675,1079,TEMP,,2023,Chevrolet,Express cargo van,144,156,12,,,,,,,,,
FAC MGMT,1GB0WLE73NF252677,1082,84 051S,,2022,Chevrolet,Silverado 200HD,338,"1,140",802,,,,,,,,,
FAC MGMT,1GB0YLE75PF112658,1083,TEMP,,2023,Chevrolet,Silverado 2500HD,12,889,877,,,,,,,,,
FAC MGMT,1GCWGAFP1P1156665,1085,TEMP,,2023,Chevrolet,Express cargo van,153,225,72,,,,,,,,,
FAC MGMT,1FTBR1Y87MKA77246,1086,84 062S,,2021,Ford,Transit250 Low Roof Cargo Van,"16,886","17,097",211,,,,,,,,,
FAC MGMT,1GCWGAFP6P1156659,1090,TEMP,,2023,Chevrolet,Express van,9,65,56,,,,,,,,,
,,,,,,,,,,"779,874",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
